"023140000001"	"023140000002"	"023140000003"	"023146000105"	"023146000106"
"volume"	44590.6944	43721.86896	59293.92	64597.3125	44915.218
"v_ratio_to_all"	1	1	1	1	1
"surface"	451673.856	502245.792	623056.56	693330.25	575998.375
"s_ratio_to_all"	1	1	1	1	1
"surface_volume_r"	10.1293299437831	11.4872900895314	10.5079333597779	10.7331129294272	12.8241251105583
"compactness1"	4.27352252163445	3.90402788274292	4.58581902203793	4.65242536064855	3.66047745836505
"compactness2"	0.00000244042791940618	0.00000170647877028787	0.00000164395634510606	0.00000141599208857824	0.00000119392108678583
"spher_dis"	74.2753439728784	83.6821898847861	84.7298764389941	89.0525563850573	94.2630437724223
"spher"	0.0134634179596011	0.0119499740790341	0.0118022124193702	0.0112293239025735	0.0106086113919076
"fractal_bc_d"	1.95777341661455	1.98493516103499	2.01856835021113	2.03697762716244	1.94458669484382
"fractal_i_d"	1.97554451926935	2.00319184529566	2.03560314276389	2.04862818929248	2.01118469915161
"fractal_c_d"	1.97890095804611	2.00576415456285	2.03711453465928	2.04863381495079	2.02356690518857
